wallet,total_transactions,unique_assets,total_volume_usd,avg_transaction_size,median_transaction_size,max_transaction_size,deposit_count,deposit_ratio,borrow_count,borrow_ratio,repay_count,repay_ratio,redeemunderlying_count,redeemunderlying_ratio,liquidationcall_count,liquidationcall_ratio,activity_span_days,transactions_per_day,avg_time_between_tx,std_time_between_tx,min_time_between_tx,net_deposits,net_borrows,deposit_to_borrow_ratio,repay_to_borrow_ratio,liquidation_ratio,transaction_variance,large_transaction_ratio,round_number_ratio,repetitive_pattern_score,asset_concentration,gini_coefficient
0x00000000001accfa9cef68cf5371a23025b6d4b6,1,1,1987663654.8592715,1987663654.8592715,1987663654.8592715,1987663654.8592715,1,1.0,0,0.0,0,0.0,0,0.0,0,0.0,1.0,1.0,0.0,0.0,0.0,1987663654.8592715,0.0,1987663654.8592715,0.0,0.0,,0.0,1.0,0.0,1.0,0.0
0x000000000051d07a4fb3bd10121a343d85818da6,1,1,2.8569448036149268e+20,2.8569448036149268e+20,2.8569448036149268e+20,2.8569448036149268e+20,1,1.0,0,0.0,0,0.0,0,0.0,0,0.0,1.0,1.0,0.0,0.0,0.0,2.8569448036149268e+20,0.0,2.8569448036149268e+20,0.0,0.0,,0.0,1.0,0.0,1.0,0.0
0x000000000096026fb41fc39f9875d164bd82e2dc,2,1,5152310624158186.0,2576155312079093.0,2576155312079093.0,4229933370154108.0,2,1.0,0,0.0,0,0.0,0,0.0,0,0.0,7.574131944444445,0.2640566621587549,181.77916666666667,,181.77916666666667,5152310624158186.0,0.0,5152310624158186.0,0.0,0.0,5.469963730740736e+30,0.5,1.0,0.0,1.0,0.0
0x0000000000e189dd664b9ab08a33c4839953852c,17,4,9.803600316664595e+20,5.766823715685056e+19,44107175595.884834,4.808679916723243e+20,0,0.0,0,0.0,0,0.0,17,1.0,0,0.0,129.3277662037037,0.1314489571653419,193.99164930555557,482.00247508362804,0.0,-9.803600316664595e+20,0.0,0.0,0.0,0.0,2.331917655157947e+40,0.11764705882352941,0.0,0.46875,0.35294117647058826,0.22058823529411775
0x0000000002032370b971dabd36d72f3e5a7bf1ee,399,6,3.797494719848251e+23,9.517530626186092e+20,9.112676398000018e+17,2.6741712130000044e+22,250,0.6265664160401002,15,0.03759398496240601,4,0.010025062656641603,130,0.3258145363408521,0,0.0,132.8659027777778,3.003027802154323,8.012014237855947,17.116883634195673,0.002777777777777778,9.370281056309024e+22,6.029762086207064e+22,3.425961553527171,1.1634001937012771e-12,0.0,1.129121042770812e+43,0.09774436090225563,0.6416040100250626,0.5099904283321369,0.3408521303258145,0.29365079365079366
0x000000000a38444e0a6e37d3b630d7e855a7cb13,25,5,2.300808111389683e+22,9.203232445558733e+20,2513588730.0000014,8.536551458246738e+21,7,0.28,8,0.32,5,0.2,5,0.2,0,0.0,39.28017361111111,0.6364533987937441,39.28017361111111,69.02891810806908,0.011111111111111112,1.3773250258147471e+22,-8849029.300849915,1581118037279.134,1.0007607859377612,0.0,3.763488950047659e+42,0.12,0.6,0.2708333333333333,0.32,0.2880000000000001
0x000000003853fcedcd0355fec98ca3192833f00b,8,7,7.637631560497202e+16,9547039450621502.0,5657357426562678.0,2.289872736489717e+16,8,1.0,0,0.0,0,0.0,0,0.0,0,0.0,7.889201388888889,1.0140443380323843,27.048690476190473,36.70293202078946,0.002777777777777778,7.637631560497202e+16,0.0,7.637631560497202e+16,0.0,0.0,8.512457786455181e+31,0.125,0.375,0.42857142857142855,0.25,0.10714285714285714
0x000000003ce0cf2c037493b1dc087204bd7f713e,492,7,8.908806796796658e+23,1.8107330887798085e+21,1.0833208558843182e+18,3.0678481000785924e+22,309,0.6280487804878049,30,0.06097560975609756,16,0.032520325203252036,137,0.2784552845528455,0,0.0,123.50150462962964,3.9837571329634045,6.03673342385155,10.434316009316046,0.0,1.5904729064861493e+23,1.3207594802957736e+23,3.4632297178994924,0.0025662569979928583,0.0,2.599544771080285e+43,0.1016260162601626,0.5040650406504065,0.5111457453678406,0.2865853658536585,0.3745644599303136
0x000000007858e6f2668e1e06111cfa24403a5466,1,1,1.4216066648145406e+17,1.4216066648145406e+17,1.4216066648145406e+17,1.4216066648145406e+17,1,1.0,0,0.0,0,0.0,0,0.0,0,0.0,1.0,1.0,0.0,0.0,0.0,1.4216066648145406e+17,0.0,1.4216066648145406e+17,0.0,0.0,,0.0,0.0,0.0,1.0,0.0
0x00000001a0f57e850c9db68b4a9bc34677437c5c,1,1,1766652.5037857387,1766652.5037857387,1766652.5037857387,1766652.5037857387,1,1.0,0,0.0,0,0.0,0,0.0,0,0.0,1.0,1.0,0.0,0.0,0.0,1766652.5037857387,0.0,1766652.5037857387,0.0,0.0,,0.0,0.0,0.0,1.0,0.0
